date,time,count,bin,Location (recode),Location-id (recode)
27,10:26:11,3,63,SIS B1 IS Lounge,SISB1
27,10:28:12,3,63,SIS B1 IS Lounge,SISB1
27,10:30:13,3,64,SIS B1 IS Lounge,SISB1
27,10:32:15,2,64,SIS B1 IS Lounge,SISB1
27,10:34:16,1,64,SIS B1 IS Lounge,SISB1
27,10:38:10,4,64,SIS B1 IS Lounge,SISB1
27,10:40:11,4,65,SIS B1 IS Lounge,SISB1
27,10:42:13,2,65,SIS B1 IS Lounge,SISB1
27,10:46:15,1,65,SIS B1 IS Lounge,SISB1
27,10:48:16,1,65,SIS B1 IS Lounge,SISB1
27,10:50:18,1,66,SIS B1 IS Lounge,SISB1
27,10:52:19,2,66,SIS B1 IS Lounge,SISB1
27,10:54:20,2,66,SIS B1 IS Lounge,SISB1
27,10:56:22,4,66,SIS B1 IS Lounge,SISB1
27,10:59:17,4,66,SIS B1 IS Lounge,SISB1
27,11:01:19,5,67,SIS B1 IS Lounge,SISB1
27,11:03:19,1,67,SIS B1 IS Lounge,SISB1
27,11:03:20,2,67,SIS B1 IS Lounge,SISB1
27,11:05:20,2,67,SIS B1 IS Lounge,SISB1
27,11:05:21,1,67,SIS B1 IS Lounge,SISB1
27,11:07:22,2,67,SIS B1 IS Lounge,SISB1
27,11:07:23,3,67,SIS B1 IS Lounge,SISB1
27,11:09:24,3,67,SIS B1 IS Lounge,SISB1
27,11:11:25,2,68,SIS B1 IS Lounge,SISB1
27,11:11:26,8,68,SIS B1 IS Lounge,SISB1
27,11:13:27,5,68,SIS B1 IS Lounge,SISB1
27,11:15:28,1,68,SIS B1 IS Lounge,SISB1
27,11:15:29,6,68,SIS B1 IS Lounge,SISB1
27,11:17:30,1,68,SIS B1 IS Lounge,SISB1
27,11:17:31,3,68,SIS B1 IS Lounge,SISB1
27,11:19:31,1,68,SIS B1 IS Lounge,SISB1
27,11:19:32,4,68,SIS B1 IS Lounge,SISB1
27,11:21:33,9,69,SIS B1 IS Lounge,SISB1
27,11:23:34,1,69,SIS B1 IS Lounge,SISB1
27,11:23:35,6,69,SIS B1 IS Lounge,SISB1
27,11:25:36,5,69,SIS B1 IS Lounge,SISB1
27,11:27:38,5,69,SIS B1 IS Lounge,SISB1
